"CompontentName","FileName","CSV_MSP","CompareResult"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.ArchJournal.Resources.dll.ZH_TW","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.DE_DE","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.ES_ES","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.FR_FR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.IT_IT","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.JA_JP","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.ZH_CN","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Common.Resources.dll.ZH_TW","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.dll","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.DE_DE","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.ES_ES","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.FR_FR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.IT_IT","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.JA_JP","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.ZH_CN","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.DbSetup.Resources.dll.ZH_TW","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Deployment.dll","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.dll","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.DE_DE","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.ES_ES","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.FR_FR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.IT_IT","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.JA_JP","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.ZH_CN","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Management.Resources.dll.ZH_TW","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.dll","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.DE_DE","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.ES_ES","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.FR_FR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.IT_IT","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.JA_JP","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.ZH_CN","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Data.resources.dll.ZH_TW","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.dll","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.DE_DE","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.ES_ES","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.FR_FR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.IT_IT","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.JA_JP","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.KO_KR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.PT_BR","6.0.0.0---6.0.0.0","True"
"OcsCore.msp","File_GAC_Microsoft.Rtc.Rgs.Management.resources.dll.RU_RU","6.0.0.0---6.0.0.0","True"
